resourcexid,notes,datestarted,dateended,relationshiptype,resourceinstanceidfrom,resourceinstanceidto,modified,created,inverserelationshiptype,tileid,nodeid,resourceinstancefrom_graphid,resourceinstanceto_graphid
c9823b04-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,1657a7a0-4918-4ff2-aec6-a731be1e7717,c3e4805e-9095-4e23-9719-5b300a685b88,2020-11-12 23:34:22.434294+00,2020-11-12 22:38:30.362857+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823b05-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,1657a7a0-4918-4ff2-aec6-a731be1e7717,c3e4805e-9095-4e23-9719-5b300a685b88,2020-11-12 23:34:22.442674+00,2020-11-12 22:38:30.370142+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823b06-2537-11eb-9d07-0610f586dfc5,"",,,badf8662-7507-43e4-b3ac-049fa38c5470,1657a7a0-4918-4ff2-aec6-a731be1e7717,571e3614-8ffd-45a9-9e70-bf980cd7482a,2020-11-12 23:34:22.451317+00,2020-11-12 22:38:30.376828+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823b08-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,20d84f99-a63a-4d5d-8bf0-df79e9b92492,0542cbaa-bd23-4acb-83ed-8e08f15b2257,2020-11-12 23:34:22.467993+00,2020-11-12 22:38:30.390872+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823b09-2537-11eb-9d07-0610f586dfc5,"",,,3775f52e-a78d-4bc0-b582-3de9fe8310e7,20d84f99-a63a-4d5d-8bf0-df79e9b92492,19d9f447-ba34-40dd-9333-6586f87dead1,2020-11-12 23:34:22.476111+00,2020-11-12 22:38:30.398084+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823b0a-2537-11eb-9d07-0610f586dfc5,"",,,badf8662-7507-43e4-b3ac-049fa38c5470,20d84f99-a63a-4d5d-8bf0-df79e9b92492,87c9460b-96b8-42fa-8da8-3e5b251fd769,2020-11-12 23:34:22.48445+00,2020-11-12 22:38:30.405066+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823b0c-2537-11eb-9d07-0610f586dfc5,"",,,0bf5d189-9697-423d-b0f0-73bb9089b9ec,20d84f99-a63a-4d5d-8bf0-df79e9b92492,598e72a2-6a27-4da5-a7ee-1642b0fc2b26,2020-11-12 23:34:22.501047+00,2020-11-12 22:38:30.419059+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,699410ac-e503-11e7-b2cc-02e0c6d7ad7a
c9823b0d-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,20d84f99-a63a-4d5d-8bf0-df79e9b92492,eb8e796c-927c-4b91-ba77-a5c6cc210c35,2020-11-12 23:34:22.510505+00,2020-11-12 22:38:30.425699+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823b0e-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,21268208-3c17-444e-af28-56668c1bb392,48cc4b75-64be-473d-98d4-2d0da3b859f7,2020-11-12 23:34:22.519138+00,2020-11-12 22:38:30.432292+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823b0f-2537-11eb-9d07-0610f586dfc5,"",,,3775f52e-a78d-4bc0-b582-3de9fe8310e7,21268208-3c17-444e-af28-56668c1bb392,19d9f447-ba34-40dd-9333-6586f87dead1,2020-11-12 23:34:22.527583+00,2020-11-12 22:38:30.439028+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
